"CLAVE_CASILLA"|"CLAVE_ACTA"|"ID_ESTADO"|"NOMBRE_ESTADO"|"ID_DISTRITO"|"NOMBRE_DISTRITO"|"SECCION"|"ID_CASILLA"|"TIPO_CASILLA"|"EXT_CONTIGUA"|"CASILLA"|"TIPO_ACTA"|"PAN"|"PRI"|"PRD"|"PVEM"|"PT"|"MC"|"MORENA"|"CANDIDATO_A_INDEPENDIENTE"|"PAN_PRI_PRD"|"PAN_PRI"|"PAN_PRD"|"PRI_PRD"|"PVEM_PT_MORENA"|"PVEM_PT"|"PVEM_MORENA"|"PT_MORENA"|"CANDIDATO/A NO REGISTRADO/A"|"VOTOS NULOS"|"TOTAL_VOTOS_CALCULADOS"|"LISTA_NOMINAL"|"OBSERVACIONES"|"MECANISMOS_TRASLADO"|"FECHA_HORA"
"160154B0100'"|"160154B01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0154"|"01"|"B"|"00"|"Urbana"|4|97|33|13|74|16|92|69|-0|5|5|0|0|-0|-0|-0|-0|1|37|442|681|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 10:29:46"
"160154C0100'"|"160154C01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0154"|"01"|"C"|"00"|"Urbana"|4|94|23|14|80|13|90|64|-0|3|2|0|1|-0|-0|-0|-0|0|31|415|681|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 10:32:05"
"160154C0200'"|"160154C02004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0154"|"02"|"C"|"00"|"Urbana"|4|108|36|8|57|10|103|48|-0|6|7|0|0|-0|-0|-0|-0|0|36|419|680|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 10:25:22"
"160154C0300'"|"160154C03004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0154"|"03"|"C"|"00"|"Urbana"|4|96|22|4|57|10|120|66|-0|4|4|0|0|-0|-0|-0|-0|0|39|422|680|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 10:39:34"
"160155B0100'"|"160155B01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0155"|"01"|"B"|"00"|"No Urbana"|4|86|19|15|63|11|75|72|-0|7|7|0|0|-0|-0|-0|-0|0|33|388|601|"Cotejo (Levantada en Casilla)"|"F-I"|"06/06/2024 08:55:11"
"160155C0100'"|"160155C01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0155"|"01"|"C"|"00"|"No Urbana"|4|90|25|6|63|8|70|68|-0|2|5|0|0|-0|-0|-0|-0|1|23|361|600|"Cotejo (Levantada en Casilla)"|"F-I"|"06/06/2024 08:55:39"
"160155C0200'"|"160155C02004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0155"|"02"|"C"|"00"|"No Urbana"|4|98|14|12|43|12|86|76|-0|2|5|0|0|-0|-0|-0|-0|0|39|387|600|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 10:37:37"
"160156B0100'"|"160156B01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0156"|"01"|"B"|"00"|"Urbana"|4|83|19|7|61|6|78|52|-0|2|4|0|0|-0|-0|-0|-0|0|41|353|635|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 10:33:43"
"160156C0100'"|"160156C01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0156"|"01"|"C"|"00"|"Urbana"|4|76|15|7|61|9|73|69|-0|2|6|1|0|-0|-0|-0|-0|1|31|351|634|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 10:35:30"
"160156C0200'"|"160156C02004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0156"|"02"|"C"|"00"|"Urbana"|4|86|14|4|63|14|82|54|-0|9|8|0|0|-0|-0|-0|-0|2|27|363|634|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 10:57:35"
"160156C0300'"|"160156C03004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0156"|"03"|"C"|"00"|"Urbana"|4|81|32|8|65|3|98|60|-0|0|6|0|0|-0|-0|-0|-0|1|24|378|634|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 10:55:28"
"160156C0400'"|"160156C04004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0156"|"04"|"C"|"00"|"Urbana"|4|62|10|9|56|4|84|78|-0|3|6|1|0|-0|-0|-0|-0|3|36|352|634|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 10:49:31"
"160157B0100'"|"160157B01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0157"|"01"|"B"|"00"|"No Urbana"|4|126|21|4|80|3|79|16|-0|7|11|0|1|-0|-0|-0|-0|2|47|397|623|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 10:49:07"
"160157C0100'"|"160157C01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0157"|"01"|"C"|"00"|"No Urbana"|4|104|28|6|47|7|66|24|-0|6|26|0|0|-0|-0|-0|-0|1|41|356|623|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 11:08:58"
"160157E0100'"|"160157E01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0157"|"01"|"E"|"00"|"No Urbana"|4|68|17|2|51|7|24|37|-0|1|5|0|1|-0|-0|-0|-0|0|16|229|417|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 11:05:56"
"160158B0100'"|"160158B01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0158"|"01"|"B"|"00"|"No Urbana"|4|50|42|9|58|17|71|37|-0|5|10|0|0|-0|-0|-0|-0|0|39|338|653|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 11:10:36"
"160158C0100'"|"160158C01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0158"|"01"|"C"|"00"|"No Urbana"|4|70|24|9|65|7|52|39|-0|5|0|0|5|-0|-0|-0|-0|0|35|311|652|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 11:21:11"
"160159B0100'"|"160159B01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0159"|"01"|"B"|"00"|"No Urbana"|4|90|38|12|93|11|59|50|-0|7|10|1|0|-0|-0|-0|-0|0|43|414|721|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 12:17:49"
"160159C0100'"|"160159C01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0159"|"01"|"C"|"00"|"No Urbana"|4|88|51|15|99|8|53|36|-0|6|4|0|0|-0|-0|-0|-0|0|41|401|721|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 11:12:02"
"160159C0200'"|"160159C02004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0159"|"02"|"C"|"00"|"No Urbana"|4|89|36|12|90|6|73|35|-0|3|12|0|2|-0|-0|-0|-0|0|47|405|720|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 11:41:53"
"160160B0100'"|"160160B01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0160"|"01"|"B"|"00"|"No Urbana"|4|60|63|5|75|3|59|13|-0|3|10|0|0|-0|-0|-0|-0|0|24|315|613|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 11:31:02"
"160160C0100'"|"160160C01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0160"|"01"|"C"|"00"|"No Urbana"|4|70|32|6|64|11|66|27|-0|3|12|0|0|-0|-0|-0|-0|0|30|321|612|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 11:32:51"
"160160C0200'"|"160160C02004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0160"|"02"|"C"|"00"|"No Urbana"|4|86|34|7|59|11|50|27|-0|4|6|0|0|-0|-0|-0|-0|1|31|316|612|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 11:28:29"
"160161B0100'"|"160161B01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0161"|"01"|"B"|"00"|"No Urbana"|4|72|17|3|97|21|61|48|-0|5|12|0|0|-0|-0|-0|-0|0|46|382|686|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 11:56:42"
"160161C0100'"|"160161C01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0161"|"01"|"C"|"00"|"No Urbana"|4|81|22|6|91|13|73|55|-0|5|8|0|0|-0|-0|-0|-0|0|35|389|685|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 11:40:15"
"160161C0200'"|"160161C02004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0161"|"02"|"C"|"00"|"No Urbana"|4|80|19|12|89|26|44|60|-0|7|6|0|0|-0|-0|-0|-0|0|43|386|685|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 11:46:33"
"160162B0100'"|"160162B01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0162"|"01"|"B"|"00"|"No Urbana"|4|83|16|5|54|6|35|22|-0|3|6|0|0|-0|-0|-0|-0|1|18|249|387|"Cotejo (Levantada en Casilla)"|"F-I"|"06/06/2024 08:57:54"
"160163B0100'"|"160163B01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0163"|"01"|"B"|"00"|"No Urbana"|4|72|15|9|66|10|50|46|-0|1|4|0|0|-0|-0|-0|-0|0|29|302|571|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 11:44:02"
"160163C0100'"|"160163C01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0163"|"01"|"C"|"00"|"No Urbana"|4|92|25|6|59|17|33|38|-0|2|8|0|0|-0|-0|-0|-0|0|31|311|570|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 12:07:10"
"160164B0100'"|"160164B01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0164"|"01"|"B"|"00"|"No Urbana"|4|189|44|10|110|9|53|36|-0|5|19|0|0|-0|-0|-0|-0|0|23|498|697|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 11:55:21"
"160165B0100'"|"160165B01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0165"|"01"|"B"|"00"|"No Urbana"|4|63|13|5|59|9|26|18|-0|0|10|5|0|-0|-0|-0|-0|0|29|237|390|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 11:57:54"
"160165C0100'"|"160165C01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0165"|"01"|"C"|"00"|"No Urbana"|4|54|13|5|71|13|18|41|-0|4|9|0|2|-0|-0|-0|-0|0|19|249|390|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 12:08:15"
"160166B0100'"|"160166B01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0166"|"01"|"B"|"00"|"No Urbana"|4|70|38|7|90|21|43|99|-0|5|6|2|1|-0|-0|-0|-0|0|39|421|637|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 12:26:39"
"160166C0100'"|"160166C01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0166"|"01"|"C"|"00"|"No Urbana"|4|95|34|6|68|14|36|54|-0|3|14|0|1|-0|-0|-0|-0|0|39|364|637|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 12:09:41"
"160167B0100'"|"160167B01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0167"|"01"|"B"|"00"|"No Urbana"|4|54|10|2|24|1|17|9|-0|0|3|1|0|-0|-0|-0|-0|0|17|138|374|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 12:13:59"
"160168B0100'"|"160168B01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0168"|"01"|"B"|"00"|"No Urbana"|4|42|10|3|34|10|14|68|-0|1|4|0|0|-0|-0|-0|-0|0|36|222|366|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 12:16:21"
"160169B0100'"|"160169B01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0169"|"01"|"B"|"00"|"No Urbana"|4|74|15|8|22|9|47|10|-0|3|10|0|0|-0|-0|-0|-0|0|25|223|333|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 12:12:25"
"160170B0100'"|"160170B01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0170"|"01"|"B"|"00"|"No Urbana"|4|11|35|7|13|33|14|141|-0|1|1|0|0|-0|-0|-0|-0|0|40|296|684|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 12:25:34"
"160170C0100'"|"160170C01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0170"|"01"|"C"|"00"|"No Urbana"|4|20|35|8|16|20|6|152|-0|1|0|0|0|-0|-0|-0|-0|0|34|292|684|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 12:18:57"
"160170C0200'"|"160170C02004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0170"|"02"|"C"|"00"|"No Urbana"|4|13|27|4|9|28|14|152|-0|1|1|0|1|-0|-0|-0|-0|0|28|278|684|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 12:28:04"
"160170C0300'"|"160170C03004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0170"|"03"|"C"|"00"|"No Urbana"|4|14|22|7|13|23|10|174|-0|0|0|0|0|-0|-0|-0|-0|1|42|306|683|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 12:39:23"
"160171B0100'"|"160171B01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0171"|"01"|"B"|"00"|"Urbana"|4|18|35|6|17|22|8|111|-0|2|0|0|0|-0|-0|-0|-0|0|27|246|513|"Cotejo (Levantada en Casilla)"|"F-I"|"06/06/2024 09:00:20"
"160171C0100'"|"160171C01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0171"|"01"|"C"|"00"|"Urbana"|4|22|37|4|16|24|12|128|-0|0|0|0|0|-0|-0|-0|-0|0|26|269|513|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 12:30:17"
"160171C0200'"|"160171C02004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0171"|"02"|"C"|"00"|"Urbana"|4|18|24|8|7|25|12|137|-0|2|1|0|1|-0|-0|-0|-0|3|27|265|513|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 12:38:27"
"160172B0100'"|"160172B01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0172"|"01"|"B"|"00"|"No Urbana"|4|11|44|8|13|20|8|118|-0|0|1|0|1|-0|-0|-0|-0|0|26|250|548|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 12:36:07"
"160172C0100'"|"160172C01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0172"|"01"|"C"|"00"|"No Urbana"|4|5|35|2|7|30|12|127|-0|0|0|0|0|-0|-0|-0|-0|0|23|241|548|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 12:43:19"
"160172C0200'"|"160172C02004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0172"|"02"|"C"|"00"|"No Urbana"|4|11|37|10|7|27|12|121|-0|1|0|0|0|-0|-0|-0|-0|1|28|255|547|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 12:51:50"
"160173B0100'"|"160173B01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0173"|"01"|"B"|"00"|"No Urbana"|4|6|38|4|12|29|10|154|-0|3|0|0|0|-0|-0|-0|-0|0|34|290|668|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 12:48:46"
"160173C0100'"|"160173C01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0173"|"01"|"C"|"00"|"No Urbana"|4|14|51|8|15|20|13|148|-0|3|0|0|0|-0|-0|-0|-0|0|30|302|667|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 12:54:33"
"160173C0200'"|"160173C02004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0173"|"02"|"C"|"00"|"No Urbana"|4|11|22|8|7|43|25|146|-0|5|0|0|0|-0|-0|-0|-0|0|30|297|667|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 12:44:32"
"160174B0100'"|"160174B01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0174"|"01"|"B"|"00"|"No Urbana"|4|9|33|7|16|22|8|119|-0|1|2|0|0|-0|-0|-0|-0|0|21|238|534|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 13:00:24"
"160174C0100'"|"160174C01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0174"|"01"|"C"|"00"|"No Urbana"|4|14|32|12|18|28|12|123|-0|5|0|0|0|-0|-0|-0|-0|0|23|267|533|"Cotejo (Levantada en Casilla)"|"F-I"|"06/06/2024 09:03:41"
"160174C0200'"|"160174C02004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0174"|"02"|"C"|"00"|"No Urbana"|4|7|40|13|4|20|8|108|-0|0|0|1|0|-0|-0|-0|-0|0|23|224|533|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 13:06:11"
"160175B0100'"|"160175B01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0175"|"01"|"B"|"00"|"No Urbana"|4|3|32|9|4|6|6|88|-0|2|0|0|0|-0|-0|-0|-0|0|10|160|381|"Cotejo (Levantada en Casilla)"|"F-I"|"06/06/2024 09:07:17"
"160175E0100'"|"160175E01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0175"|"01"|"E"|"00"|"No Urbana"|4|0|2|1|0|0|0|75|-0|0|0|0|0|-0|-0|-0|-0|0|1|79|162|"Cotejo (Levantada en Casilla)"|"F-I"|"06/06/2024 09:10:44"
"160176B0100'"|"160176B01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0176"|"01"|"B"|"00"|"No Urbana"|4|3|13|10|12|8|7|158|-0|1|0|0|0|-0|-0|-0|-0|0|22|234|707|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 13:05:23"
"160176C0100'"|"160176C01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0176"|"01"|"C"|"00"|"No Urbana"|4|7|21|8|10|8|14|129|-0|0|0|0|0|-0|-0|-0|-0|0|15|212|706|"Cotejo (Levantada en Casilla)"|"F-I"|"06/06/2024 09:14:10"
"160176E0100'"|"160176E01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0176"|"01"|"E"|"00"|"No Urbana"|4|5|4|6|9|4|4|132|-0|0|0|0|0|-0|-0|-0|-0|0|20|184|440|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 13:11:43"
"160176E0200'"|"160176E02004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0176"|"02"|"E"|"00"|"No Urbana"|4|4|7|5|3|6|6|56|-0|0|0|0|0|-0|-0|-0|-0|0|5|92|164|"Cotejo (Levantada en Casilla)"|"F-I"|"06/06/2024 09:15:17"
"160177B0100'"|"160177B01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0177"|"01"|"B"|"00"|"No Urbana"|4|2|1|4|2|7|7|53|-0|1|0|0|0|-0|-0|-0|-0|0|5|82|198|"Cotejo (Levantada en Casilla)"|"F-I"|"06/06/2024 09:21:20"
"160177E0100'"|"160177E01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0177"|"01"|"E"|"00"|"No Urbana"|4|2|1|1|0|1|0|47|-0|0|0|0|0|-0|-0|-0|-0|0|0|52|107|"Cotejo (Levantada en Casilla)"|"F-I"|"06/06/2024 09:22:10"
"160177E0200'"|"160177E02004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0177"|"02"|"E"|"00"|"No Urbana"|4|9|4|4|10|11|2|68|-0|1|0|0|0|-0|-0|-0|-0|0|11|120|241|"Cotejo (Levantada en Casilla)"|"F-I"|"06/06/2024 09:23:20"
"160178B0100'"|"160178B01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0178"|"01"|"B"|"00"|"No Urbana"|4|6|56|10|7|31|8|165|-0|3|1|0|0|-0|-0|-0|-0|0|21|308|686|"Cotejo (Levantada en Casilla)"|"F-I"|"06/06/2024 09:26:30"
"160179B0100'"|"160179B01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0179"|"01"|"B"|"00"|"No Urbana"|4|3|15|1|7|7|4|58|-0|0|0|0|0|-0|-0|-0|-0|0|7|102|300|"Recuento (Para recuento-SRA)"|"I"|"06/06/2024 13:07:18"
"160180B0100'"|"160180B01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0180"|"01"|"B"|"00"|"No Urbana"|4|7|22|3|6|13|7|68|-0|5|0|0|0|-0|-0|-0|-0|0|22|153|308|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 12:58:18"
"160180E0100'"|"160180E01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0180"|"01"|"E"|"00"|"No Urbana"|4|13|55|13|8|11|5|46|-0|4|2|0|1|-0|-0|-0|-0|0|25|183|344|"Cotejo (Levantada en Casilla)"|"F-I"|"06/06/2024 09:27:57"
"160181B0100'"|"160181B01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0181"|"01"|"B"|"00"|"No Urbana"|4|4|7|2|7|15|4|159|-0|1|0|0|1|-0|-0|-0|-0|0|26|226|541|"Cotejo (Levantada en Casilla)"|"F-I"|"06/06/2024 09:28:34"
"160181C0100'"|"160181C01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0181"|"01"|"C"|"00"|"No Urbana"|4|3|9|2|9|18|9|186|-0|0|0|0|0|-0|-0|-0|-0|0|14|250|541|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 13:36:02"
"160181C0200'"|"160181C02004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0181"|"02"|"C"|"00"|"No Urbana"|4|7|6|2|5|11|4|209|-0|0|0|0|0|-0|-0|-0|-0|0|14|258|541|"Cotejo (Levantada en Casilla)"|"F-I"|"06/06/2024 10:04:19"
"160181E0100'"|"160181E01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0181"|"01"|"E"|"00"|"No Urbana"|4|3|15|6|4|2|3|44|-0|0|0|0|0|-0|-0|-0|-0|0|9|86|137|"Cotejo (Levantada en Casilla)"|"F-I"|"06/06/2024 09:31:45"
